datetime,Unnamed: 0,open,high,low,close,volume,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_05,ema_10,ema_30,ATR,signals,trade_type
2019-12-18,101,6618.96,7479.99,6427.0,7277.44,328489.593,6950.8475,6753.219999999999,7479.99,6427.0,34.762639329569325,-249.42994966110018,-242.8764672653018,-6.553482395798369,6981.291271886439,7093.154482731738,7448.107957181473,389.9686954923483,0,Hold
2019-12-19,102,7278.11,7367.87,7042.82,7146.29,158849.566,7208.7725,6948.2,7367.87,6948.2,44.53660815127594,-224.67481347053035,-239.23613650634755,14.561323035817196,7057.118347924294,7114.175940416877,7432.666959943959,392.0902172428949,0,Hold
2019-12-20,103,7146.29,7217.08,7078.17,7184.39,86449.566,7156.4825,7212.2,7217.08,7078.17,43.12594576860153,-206.89064906514977,-232.767039018108,25.87638995295822,7090.239731949529,7121.868042159263,7414.848607689511,374.00591601125956,0,Hold
2019-12-21,104,7184.39,7185.0,7108.0,7131.01,44340.865,7152.1,7165.34,7185.0,7108.0,43.00300590503367,-190.94905986930917,-224.40344318834826,33.454383319039096,7110.859821299688,7127.364761766668,7397.897084612768,352.791207724741,0,Hold
2019-12-22,105,7131.02,7517.61,7122.0,7502.92,129797.395,7318.387500000001,7157.700000000001,7517.61,7122.0,48.94968966416218,-163.0180534068195,-212.12636523204253,49.10831182522304,7180.035714199792,7162.096168718183,7392.76743399259,355.8496928872595,0,Hold
2019-12-23,106,7502.92,7691.0,7262.0,7314.01,215298.787,7442.4825,7316.97,7691.0,7262.0,52.8990932966499,-129.3777144016576,-195.57663506596555,66.19892066430793,7267.517976133195,7213.075501678513,7395.974857605971,361.0747148238838,0,Hold
2019-12-24,107,7314.03,7434.55,7156.08,7252.04,149081.004,7289.175,7408.465,7434.55,7156.08,47.96248557734672,-113.77659165514433,-179.2166263838013,65.44003472865697,7274.736984088797,7226.911774100601,7389.084544212038,355.74098519360643,0,Hold
2019-12-25,108,7251.57,7267.63,7123.19,7201.45,96965.072,7210.96,7283.035,7283.035,7123.19,45.62322960821264,-106.49626367249039,-164.67255384153913,58.17629016904874,7253.4779893925315,7224.011451536855,7377.592638133842,342.18698625120606,0,Hold
2019-12-26,109,7201.67,7438.8,7151.0,7197.46,133973.533,7247.2325,7226.51,7438.8,7151.0,46.91626281473224,-96.68513760434234,-151.07507059409977,54.389932989757426,7251.396159595021,7228.233460348336,7369.182306641336,338.3022015189771,0,Hold
2019-12-27,110,7197.84,7270.0,7078.89,7248.4,112284.61,7198.782499999999,7199.5650000000005,7270.0,7078.89,45.36454134880469,-91.76149025631366,-139.21235452654255,47.45086427022889,7233.858273063348,7222.878740285001,7358.188770728992,327.7884728390501,0,Hold
2019-12-28,111,7248.4,7359.15,7235.0,7311.48,91292.882,7288.5075,7223.12,7359.15,7223.12,48.74540409859114,-79.70066694653269,-127.31001701054059,47.6093500640079,7252.074682042232,7234.811242051364,7353.693204875509,315.82983192197514,0,Hold
2019-12-29,112,7310.29,7527.0,7283.6,7383.67,102543.974,7376.139999999999,7279.94,7527.0,7279.94,51.87751689446016,-62.35240746511954,-114.31849510145639,51.96608763633685,7293.429788028155,7260.507379860207,7355.141385206121,310.91770107040554,0,Hold
