datetime,close,high,low,open,signals
2021-01-27 16:00:00,1258.92,1308.95,1242.13,1282.08,1.0
2021-01-27 18:00:00,1269.67,1281.76,1223.07,1258.66,1.0
2021-01-27 20:00:00,1276.19,1298.59,1259.52,1269.68,1.0
2021-01-27 22:00:00,1238.55,1286.0,1235.11,1276.18,1.0
2021-01-28 00:00:00,1266.32,1267.82,1217.28,1238.55,1.0
2021-01-28 02:00:00,1288.18,1292.0,1264.66,1266.28,1.0
2021-01-28 04:00:00,1302.1,1304.27,1271.22,1288.13,1.0
2021-01-28 06:00:00,1285.56,1326.39,1280.39,1302.11,1.0
2021-01-28 08:00:00,1302.12,1303.66,1265.44,1285.58,1.0
2021-01-28 10:00:00,1303.61,1311.1,1280.63,1302.25,1.0
2021-01-28 12:00:00,1344.16,1344.51,1293.98,1303.94,1.0
2021-01-28 14:00:00,1353.01,1361.25,1332.61,1344.11,1.0
2021-01-28 16:00:00,1339.2,1359.68,1333.3,1353.15,1.0
2021-01-28 18:00:00,1333.87,1346.39,1322.0,1339.13,1.0
2021-01-28 20:00:00,1349.86,1352.85,1325.46,1333.87,1.0
2021-01-28 22:00:00,1329.86,1362.94,1326.05,1349.84,1.0
2021-01-29 00:00:00,1344.81,1378.0,1328.28,1330.28,1.0
2021-01-29 02:00:00,1322.33,1354.36,1311.4,1344.81,1.0
2021-01-29 10:00:00,1421.87,1436.97,1350.11,1375.33,1.0
2021-01-29 12:00:00,1429.56,1433.82,1402.0,1421.87,1.0
2021-02-01 00:00:00,1320.18,1324.2,1270.0,1313.09,1.0
2021-02-01 02:00:00,1318.29,1326.2,1309.1,1320.26,1.0
2021-02-01 04:00:00,1322.0,1331.54,1311.74,1318.29,1.0
2021-02-01 06:00:00,1318.58,1339.91,1302.71,1322.0,1.0
2021-02-01 08:00:00,1330.39,1341.86,1310.0,1318.57,1.0
2021-02-01 10:00:00,1338.73,1348.67,1325.0,1330.39,1.0
2021-02-01 12:00:00,1328.28,1348.12,1326.06,1338.8,1.0
2021-02-01 14:00:00,1302.39,1331.0,1301.53,1328.31,1.0
2021-02-01 16:00:00,1319.35,1323.26,1300.21,1302.29,1.0
2021-02-01 18:00:00,1333.9,1334.99,1317.46,1319.35,1.0
2021-02-01 20:00:00,1352.26,1354.97,1330.38,1333.9,1.0
2021-02-01 22:00:00,1376.48,1379.73,1345.36,1352.28,1.0
2021-02-02 00:00:00,1385.11,1416.54,1371.12,1376.74,1.0
2021-02-02 02:00:00,1371.26,1394.14,1363.0,1385.12,1.0
2021-02-02 04:00:00,1389.1,1398.24,1370.01,1371.27,1.0
2021-02-02 06:00:00,1417.11,1429.0,1389.09,1389.1,1.0
2021-02-02 08:00:00,1440.82,1467.9,1411.0,1417.11,1.0
2021-02-02 10:00:00,1423.21,1452.99,1413.08,1441.01,1.0
2021-02-04 02:00:00,1648.88,1701.57,1635.5,1696.71,1.0
2021-02-07 04:00:00,1617.1,1634.14,1587.0,1628.22,-1.0
2021-02-07 20:00:00,1597.01,1603.7,1552.22,1566.29,1.0
2021-02-07 22:00:00,1611.99,1621.81,1575.86,1597.01,1.0
2021-02-08 00:00:00,1593.61,1632.73,1580.0,1612.0,1.0
2021-02-08 02:00:00,1583.35,1605.83,1566.22,1593.6,1.0
2021-02-08 04:00:00,1610.11,1627.39,1579.6,1583.35,1.0
2021-02-08 06:00:00,1640.29,1649.28,1610.05,1610.06,1.0
2021-02-08 08:00:00,1630.81,1653.4,1627.11,1640.21,1.0
2021-02-08 10:00:00,1664.03,1669.0,1627.26,1630.68,1.0
2021-02-08 12:00:00,1688.87,1758.24,1645.0,1664.11,1.0
2021-02-08 14:00:00,1737.78,1766.4,1688.1,1688.87,1.0
2021-02-08 16:00:00,1713.52,1782.5,1705.45,1737.8,1.0
2021-02-08 18:00:00,1701.83,1720.93,1690.87,1713.53,1.0
2021-02-08 20:00:00,1701.14,1741.6,1696.97,1701.84,1.0
2021-02-08 22:00:00,1755.61,1758.99,1699.56,1701.14,1.0
2021-02-09 00:00:00,1739.9,1777.0,1732.06,1755.6,1.0
2021-02-15 00:00:00,1754.53,1816.26,1733.73,1804.0,-1.0
2021-02-15 10:00:00,1789.35,1798.0,1757.0,1764.57,1.0
2021-02-15 12:00:00,1805.49,1817.44,1778.49,1789.36,1.0
2021-02-15 14:00:00,1812.82,1815.42,1785.11,1805.49,1.0
2021-02-15 16:00:00,1822.42,1839.0,1812.82,1812.88,1.0
2021-02-15 18:00:00,1828.11,1829.13,1807.7,1822.43,1.0
2021-02-15 20:00:00,1792.49,1839.63,1789.26,1828.12,1.0
2021-02-15 22:00:00,1781.34,1809.9,1765.57,1792.49,1.0
2021-02-16 00:00:00,1804.87,1805.93,1747.96,1781.34,1.0
2021-02-16 02:00:00,1825.36,1831.58,1797.5,1804.89,1.0
2021-02-16 04:00:00,1812.64,1831.48,1805.12,1825.29,1.0
2021-02-16 06:00:00,1799.2,1812.96,1782.62,1812.65,1.0
2021-02-16 08:00:00,1806.27,1812.33,1794.96,1799.21,1.0
2021-02-16 10:00:00,1786.09,1809.0,1780.33,1806.27,1.0
2021-02-16 12:00:00,1780.65,1831.0,1771.66,1786.07,1.0
2021-02-16 22:00:00,1784.31,1787.28,1750.08,1755.27,1.0
2021-02-17 00:00:00,1764.22,1789.17,1761.05,1784.31,1.0
